12.24. netqlty 0.35, netp 0.4877, randp 0.4904, sxs 1
12.25. netqlty 0.43, netp 0.4891, randp 0.4891, sxs 1
12.26. netqlty 0.37, netp 0.4877, randp 0.4905, sxs 0
12.27. netqlty 0.44, netp 0.4864, randp 0.4891, sxs 0
12.28. netqlty 0.39, netp 0.4851, randp 0.4905, sxs 0
12.29. netqlty 0.37, netp 0.4865, randp 0.4892, sxs 1
12.30. netqlty 0.41, netp 0.4879, randp 0.4906, sxs 1
12.31. netqlty 0.46, netp 0.4892, randp 0.4892, sxs 1
sxss 17, ones 17, zeros 14
13.1. netqlty 0.38, netp 0.4906, randp 0.4879, sxs 1
13.2. netqlty 0.45, netp 0.4893, randp 0.4866, sxs 0
13.3. netqlty 0.49, netp 0.4907, randp 0.4853, sxs 1
13.4. netqlty 0.40, netp 0.4920, randp 0.4867, sxs 1
13.5. netqlty 0.42, netp 0.4934, randp 0.4854, sxs 1
13.6. netqlty 0.44, netp 0.4947, randp 0.4868, sxs 1
13.7. netqlty 0.47, netp 0.4960, randp 0.4855, sxs 1
13.8. netqlty 0.38, netp 0.4974, randp 0.4868, sxs 1
13.9. netqlty 0.44, netp 0.4987, randp 0.4882, sxs 1
13.10. netqlty 0.36, netp 0.5000, randp 0.4869, sxs 1
13.11. netqlty 0.47, netp 0.4987, randp 0.4856, sxs 0
13.12. netqlty 0.42, netp 0.5000, randp 0.4870, sxs 1
13.13. netqlty 0.45, netp 0.4987, randp 0.4883, sxs 0
13.14. netqlty 0.42, netp 0.5000, randp 0.4896, sxs 1
13.15. netqlty 0.44, netp 0.5013, randp 0.4884, sxs 1
13.16. netqlty 0.40, netp 0.5026, randp 0.4897, sxs 1
13.17. netqlty 0.49, netp 0.5039, randp 0.4910, sxs 1
13.18. netqlty 0.44, netp 0.5026, randp 0.4897, sxs 0
13.19. netqlty 0.36, netp 0.5038, randp 0.4910, sxs 1
13.20. netqlty 0.42, netp 0.5051, randp 0.4898, sxs 1
13.21. netqlty 0.47, netp 0.5064, randp 0.4885, sxs 1
13.22. netqlty 0.45, netp 0.5051, randp 0.4898, sxs 0
