17.11. act -1, pred 1, sxs 0, qlty 64
17.12. act -1, pred -1, sxs 1, qlty 68
17.13. act -1, pred -1, sxs 1, qlty 64
17.14. act -1, pred -1, sxs 1, qlty 72
17.15. act -1, pred -1, sxs 1, qlty 70
17.16. act -1, pred -1, sxs 1, qlty 66
17.17. act -1, pred -1, sxs 1, qlty 70
17.18. act -1, pred -1, sxs 1, qlty 60
17.19. act -1, pred -1, sxs 1, qlty 70
17.20. act -1, pred -1, sxs 1, qlty 70
17.21. act -1, pred -1, sxs 1, qlty 60
17.22. act -1, pred -1, sxs 1, qlty 62
17.23. act -1, pred -1, sxs 1, qlty 64
17.24. act -1, pred -1, sxs 1, qlty 64
17.25. act -1, pred -1, sxs 1, qlty 70
17.26. act -1, pred 1, sxs 0, qlty 70
17.27. act -1, pred -1, sxs 1, qlty 64
17.28. act -1, pred -1, sxs 1, qlty 54
17.29. act -1, pred -1, sxs 1, qlty 68
17.30. act -1, pred -1, sxs 1, qlty 70
17.31. act -1, pred -1, sxs 1, qlty 64
18.1. act 1, pred -1, sxs 0, qlty 72
18.2. act 1, pred -1, sxs 0, qlty 68
18.3. act 1, pred -1, sxs 0, qlty 68
18.4. act 1, pred -1, sxs 0, qlty 72
18.5. act 1, pred 1, sxs 1, qlty 66
18.6. act 1, pred 1, sxs 1, qlty 68
18.7. act 1, pred -1, sxs 0, qlty 62
18.8. act 1, pred -1, sxs 0, qlty 64
18.9. act 1, pred -1, sxs 0, qlty 68
18.10. act 1, pred 1, sxs 1, qlty 66
18.11. act 1, pred 1, sxs 1, qlty 66
18.12. act 1, pred -1, sxs 0, qlty 58
18.13. act 1, pred -1, sxs 0, qlty 64
18.14. act 1, pred -1, sxs 0, qlty 70
18.15. act 1, pred -1, sxs 0, qlty 66
18.16. act 1, pred -1, sxs 0, qlty 70
18.17. act 1, pred -1, sxs 0, qlty 70
18.18. act 1, pred -1, sxs 0, qlty 68
18.19. act 1, pred -1, sxs 0, qlty 68
18.20. act 1, pred -1, sxs 0, qlty 66
18.21. act 1, pred -1, sxs 0, qlty 50
18.22. act 1, pred 1, sxs 1, qlty 70
18.23. act 1, pred 1, sxs 1, qlty 56
18.24. act 1, pred -1, sxs 0, qlty 66
18.25. act 1, pred -1, sxs 0, qlty 64
18.26. act 1, pred 1, sxs 1, qlty 64
18.27. act 1, pred -1, sxs 0, qlty 68
18.28. act 1, pred 1, sxs 1, qlty 70
18.29. act 1, pred -1, sxs 0, qlty 60
18.30. act 1, pred 1, sxs 1, qlty 68
18.31. act 1, pred -1, sxs 0, qlty 66
19.1. act -1, pred -1, sxs 1, qlty 68
